"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","298","Create file with empty directory","LMS service","2026-08-26","passed","2026-08-26","Validate entity","Files","",""
"","16","Get file","LMS service","2026-08-26","passed","2026-08-26","Get entity","Files","",""
"","320","Get exercises","LMS service","2026-08-26","passed","2026-08-26","Get entities","Exercises","",""
"","623","Login with correct email and password","LMS service","2026-08-26","passed","2026-08-26","Login","Authentication","",""
"","28","Create course","LMS service","2026-08-26","passed","2026-08-26","Create entity","Courses","",""
"","342","Update course","LMS service","2026-08-26","passed","2026-08-26","Update entity","Courses","",""
"","313","Create exercise","LMS service","2026-08-26","passed","2026-08-26","Create entity","Exercises","",""
"","18","Delete exercise","LMS service","2026-08-26","passed","2026-08-26","Delete entity","Exercises","",""
"","12","Get user me","LMS service","2026-08-26","passed","2026-08-26","Get entity","Users","",""
"","20","Update exercise","LMS service","2026-08-26","passed","2026-08-26","Update entity","Exercises","",""
"","322","Get exercise","LMS service","2026-08-26","passed","2026-08-26","Get entity","Exercises","",""
"","304","Create file","LMS service","2026-08-26","passed","2026-08-26","Create entity","Files","",""
"","324","Create user","LMS service","2026-08-26","passed","2026-08-26","Create entity","Users","",""
"","303","Get file with incorrect file id","LMS service","2026-08-26","passed","2026-08-26","Validate entity","Files","",""
"","305","Create file with empty filename","LMS service","2026-08-26","passed","2026-08-26","Validate entity","Files","",""
"","21","Delete file","LMS service","2026-08-26","passed","2026-08-26","Delete entity","Files","",""
"","628","Create user","LMS service","2026-08-26","passed","2026-08-26","Create entity","Users","",""
"","613","Create user","LMS service","2026-08-26","passed","2026-08-26","Create entity","Users","",""
"","29","Get courses","LMS service","2026-08-26","passed","2026-08-26","Get entities","Courses","",""
